#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AK5	CPNE6	9606.ENSP00000346577	9606.ENSP00000440077	0	0	0	0	0.217	0.078	0	0.622	0.703
AK5	PDE1A	9606.ENSP00000346577	9606.ENSP00000410309	0	0	0	0	0.151	0	0.650	0.081	0.703
CACNG3	CAMK2B	9606.ENSP00000005284	9606.ENSP00000379098	0	0	0	0	0.189	0	0.650	0.242	0.766
CAMK2B	CACNG3	9606.ENSP00000379098	9606.ENSP00000005284	0	0	0	0	0.189	0	0.650	0.242	0.766
CAMK2B	LRRC7	9606.ENSP00000379098	9606.ENSP00000309245	0	0	0	0	0.094	0.071	0.400	0.637	0.792
CAMK2B	RYR2	9606.ENSP00000379098	9606.ENSP00000355533	0	0	0	0	0.102	0.069	0.900	0.209	0.925
CCK	SST	9606.ENSP00000379472	9606.ENSP00000287641	0	0	0	0	0.188	0	0	0.921	0.933
CCK	TAC1	9606.ENSP00000379472	9606.ENSP00000321106	0	0	0	0	0.141	0	0.400	0.858	0.920
CHRM1	SST	9606.ENSP00000306490	9606.ENSP00000287641	0	0	0	0	0.135	0	0.650	0.212	0.740
CPNE6	AK5	9606.ENSP00000440077	9606.ENSP00000346577	0	0	0	0	0.217	0.078	0	0.622	0.703
GABRA1	GABRB2	9606.ENSP00000393097	9606.ENSP00000274547	0	0	0.088	0.837	0.363	0.979	0.540	0.473	0.996
GABRA1	GABRD	9606.ENSP00000393097	9606.ENSP00000367848	0	0	0.093	0.826	0.328	0.178	0.540	0.237	0.792
GABRA1	GABRA5	9606.ENSP00000393097	9606.ENSP00000382953	0	0	0.053	0.972	0.202	0.095	0.540	0.327	0.749
GABRA1	GABRA2	9606.ENSP00000393097	9606.ENSP00000427603	0	0	0.052	0.974	0.197	0	0.720	0.395	0.854
GABRA1	GABRG2	9606.ENSP00000393097	9606.ENSP00000410732	0	0	0.071	0.903	0.440	0.990	0.540	0.498	0.998
GABRA2	GABRB2	9606.ENSP00000427603	9606.ENSP00000274547	0	0	0.113	0.821	0.175	0.189	0.540	0.417	0.812
GABRA2	GABRD	9606.ENSP00000427603	9606.ENSP00000367848	0	0	0.092	0.814	0.148	0.178	0.540	0.189	0.720
GABRA2	GABRA1	9606.ENSP00000427603	9606.ENSP00000393097	0	0	0.052	0.974	0.197	0	0.720	0.395	0.854
GABRA2	GABRG2	9606.ENSP00000427603	9606.ENSP00000410732	0	0	0.082	0.861	0.196	0.322	0.540	0.238	0.793
GABRA5	GABRB2	9606.ENSP00000382953	9606.ENSP00000274547	0	0	0.084	0.826	0.201	0.305	0.540	0.235	0.788
GABRA5	GABRD	9606.ENSP00000382953	9606.ENSP00000367848	0	0	0.089	0.838	0.200	0.178	0.540	0.224	0.747
GABRA5	GABRA1	9606.ENSP00000382953	9606.ENSP00000393097	0	0	0.053	0.972	0.202	0.095	0.540	0.327	0.749
GABRA5	GABRG2	9606.ENSP00000382953	9606.ENSP00000410732	0	0	0.071	0.895	0.239	0.346	0.540	0.112	0.776
GABRB2	GABRA5	9606.ENSP00000274547	9606.ENSP00000382953	0	0	0.084	0.826	0.201	0.305	0.540	0.235	0.788
GABRB2	GABRA2	9606.ENSP00000274547	9606.ENSP00000427603	0	0	0.113	0.821	0.175	0.189	0.540	0.417	0.812
GABRB2	GABRG2	9606.ENSP00000274547	9606.ENSP00000410732	0	0	0.084	0.806	0.333	0.927	0.540	0.566	0.989
GABRB2	GABRA1	9606.ENSP00000274547	9606.ENSP00000393097	0	0	0.088	0.837	0.363	0.979	0.540	0.473	0.996
GABRD	GABRA2	9606.ENSP00000367848	9606.ENSP00000427603	0	0	0.092	0.814	0.148	0.178	0.540	0.189	0.720
GABRD	GABRA5	9606.ENSP00000367848	9606.ENSP00000382953	0	0	0.089	0.838	0.200	0.178	0.540	0.224	0.747
GABRD	GABRG2	9606.ENSP00000367848	9606.ENSP00000410732	0	0	0.081	0.843	0.272	0.178	0.540	0.223	0.768
GABRD	GABRA1	9606.ENSP00000367848	9606.ENSP00000393097	0	0	0.093	0.826	0.328	0.178	0.540	0.237	0.792
GABRG2	GABRB2	9606.ENSP00000410732	9606.ENSP00000274547	0	0	0.084	0.806	0.333	0.927	0.540	0.566	0.989
GABRG2	GABRD	9606.ENSP00000410732	9606.ENSP00000367848	0	0	0.081	0.843	0.272	0.178	0.540	0.223	0.768
GABRG2	GABRA5	9606.ENSP00000410732	9606.ENSP00000382953	0	0	0.071	0.895	0.239	0.346	0.540	0.112	0.776
GABRG2	GABRA1	9606.ENSP00000410732	9606.ENSP00000393097	0	0	0.071	0.903	0.440	0.990	0.540	0.498	0.998
GABRG2	GABRA2	9606.ENSP00000410732	9606.ENSP00000427603	0	0	0.082	0.861	0.196	0.322	0.540	0.238	0.793
HCN1	PEX5L	9606.ENSP00000307342	9606.ENSP00000419975	0	0	0	0	0.181	0.328	0	0.663	0.798
HTR2A	HTR2C	9606.ENSP00000437737	9606.ENSP00000276198	0	0	0	0.935	0.063	0.573	0.900	0.816	0.991
HTR2C	HTR2A	9606.ENSP00000276198	9606.ENSP00000437737	0	0	0	0.935	0.063	0.573	0.900	0.816	0.991
LRRC7	CAMK2B	9606.ENSP00000309245	9606.ENSP00000379098	0	0	0	0	0.094	0.071	0.400	0.637	0.792
NEFL	NEFM	9606.ENSP00000482169	9606.ENSP00000221166	0	0	0	0.885	0.849	0.835	0	0.988	0.999
NEFL	SYT1	9606.ENSP00000482169	9606.ENSP00000261205	0	0	0	0	0.207	0.053	0	0.647	0.711
NEFM	NEFL	9606.ENSP00000221166	9606.ENSP00000482169	0	0	0	0.885	0.849	0.835	0	0.988	0.999
NRXN3	SYT1	9606.ENSP00000489551	9606.ENSP00000261205	0	0	0	0	0.190	0.042	0.500	0.328	0.704
PDE1A	AK5	9606.ENSP00000410309	9606.ENSP00000346577	0	0	0	0	0.151	0	0.650	0.081	0.703
PEX5L	HCN1	9606.ENSP00000419975	9606.ENSP00000307342	0	0	0	0	0.181	0.328	0	0.663	0.798
RBFOX3	SLC17A7	9606.ENSP00000463653	9606.ENSP00000221485	0	0	0	0	0.174	0	0	0.720	0.759
RYR2	CAMK2B	9606.ENSP00000355533	9606.ENSP00000379098	0	0	0	0	0.102	0.069	0.900	0.209	0.925
