#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.910	0	0	0.702	0.972
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.959	0.160	0	0.170	0.969
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.777	0	0	0.295	0.836
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0.640	0.928
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	NUSAP1	9606.ENSP00000356379	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0.611	0.940
ASPM	CDK1	9606.ENSP00000356379	9606.ENSP00000378699	0	0	0	0	0.827	0	0	0.682	0.942
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0.700	0.950
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0.703	0.951
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
BIRC5	NCAPG	9606.ENSP00000301633	9606.ENSP00000251496	0	0	0	0	0.685	0.100	0	0.597	0.876
BIRC5	NDC80	9606.ENSP00000301633	9606.ENSP00000261597	0	0	0	0	0.831	0	0	0.344	0.885
BIRC5	CCNB2	9606.ENSP00000301633	9606.ENSP00000288207	0	0	0	0	0.905	0.098	0.400	0.892	0.993
BIRC5	MELK	9606.ENSP00000301633	9606.ENSP00000298048	0	0	0	0	0.885	0.091	0	0.697	0.965
BIRC5	UHRF1	9606.ENSP00000301633	9606.ENSP00000479617	0	0	0	0	0.604	0	0	0.290	0.707
BIRC5	TACC3	9606.ENSP00000301633	9606.ENSP00000326550	0	0	0	0	0.620	0.049	0	0.302	0.725
BIRC5	KIF14	9606.ENSP00000301633	9606.ENSP00000356319	0	0	0	0	0.513	0.292	0	0.311	0.741
BIRC5	ASPM	9606.ENSP00000301633	9606.ENSP00000356379	0	0	0	0	0.748	0	0	0.540	0.879
BIRC5	HMMR	9606.ENSP00000301633	9606.ENSP00000377492	0	0	0	0	0.793	0.071	0	0.434	0.882
BIRC5	RRM2	9606.ENSP00000301633	9606.ENSP00000353770	0	0	0	0	0.758	0	0	0.584	0.895
BIRC5	HJURP	9606.ENSP00000301633	9606.ENSP00000414109	0	0	0	0	0.819	0	0	0.535	0.912
BIRC5	CEP55	9606.ENSP00000301633	9606.ENSP00000360540	0	0	0	0	0.806	0	0	0.570	0.913
BIRC5	KIF4A	9606.ENSP00000301633	9606.ENSP00000363524	0	0	0	0	0.853	0	0	0.516	0.925
BIRC5	NUSAP1	9606.ENSP00000301633	9606.ENSP00000499238	0	0	0	0	0.837	0	0	0.724	0.953
BIRC5	FOXM1	9606.ENSP00000301633	9606.ENSP00000342307	0	0	0	0	0.808	0.048	0	0.792	0.958
BIRC5	KIF20A	9606.ENSP00000301633	9606.ENSP00000378356	0	0	0	0	0.903	0.053	0	0.732	0.973
BIRC5	TOP2A	9606.ENSP00000301633	9606.ENSP00000411532	0	0	0	0	0.868	0	0	0.828	0.976
BIRC5	PBK	9606.ENSP00000301633	9606.ENSP00000428489	0	0	0	0	0.932	0.092	0	0.683	0.978
BIRC5	CDK1	9606.ENSP00000301633	9606.ENSP00000378699	0	0	0	0	0.926	0.510	0.400	0.890	0.997
BRCA2	PHC2	9606.ENSP00000369497	9606.ENSP00000257118	0	0	0	0	0	0	0.720	0	0.720
BRCA2	KIF4A	9606.ENSP00000369497	9606.ENSP00000363524	0	0	0	0	0.238	0.292	0	0.532	0.725
BRCA2	HMMR	9606.ENSP00000369497	9606.ENSP00000377492	0	0	0	0	0.256	0	0	0.909	0.929
CCNB2	NCAPG	9606.ENSP00000288207	9606.ENSP00000251496	0	0	0	0	0.823	0	0.400	0.742	0.970
CCNB2	NDC80	9606.ENSP00000288207	9606.ENSP00000261597	0	0	0	0	0.675	0.160	0.400	0.329	0.875
CCNB2	CDCA2	9606.ENSP00000288207	9606.ENSP00000328228	0	0	0	0	0.602	0	0	0.500	0.793
CCNB2	WEE1	9606.ENSP00000288207	9606.ENSP00000402084	0	0	0	0	0.193	0.310	0	0.704	0.820
CCNB2	KIF4A	9606.ENSP00000288207	9606.ENSP00000363524	0	0	0	0	0.724	0	0	0.529	0.864
CCNB2	PBK	9606.ENSP00000288207	9606.ENSP00000428489	0	0	0	0	0.763	0.098	0	0.486	0.880
CCNB2	HMMR	9606.ENSP00000288207	9606.ENSP00000377492	0	0	0	0	0.796	0.091	0	0.446	0.888
CCNB2	FOXM1	9606.ENSP00000288207	9606.ENSP00000342307	0	0	0	0	0.504	0.091	0.500	0.590	0.895
CCNB2	HJURP	9606.ENSP00000288207	9606.ENSP00000414109	0	0	0	0	0.792	0	0	0.564	0.905
CCNB2	CEP55	9606.ENSP00000288207	9606.ENSP00000360540	0	0	0	0	0.811	0	0	0.529	0.907
CCNB2	RRM2	9606.ENSP00000288207	9606.ENSP00000353770	0	0	0	0	0.566	0	0	0.808	0.913
CCNB2	KIF20A	9606.ENSP00000288207	9606.ENSP00000378356	0	0	0	0	0.842	0	0	0.624	0.938
CCNB2	ASPM	9606.ENSP00000288207	9606.ENSP00000356379	0	0	0	0	0.840	0	0	0.709	0.951
CCNB2	NUSAP1	9606.ENSP00000288207	9606.ENSP00000499238	0	0	0	0	0.848	0	0	0.761	0.962
CCNB2	MELK	9606.ENSP00000288207	9606.ENSP00000298048	0	0	0	0	0.852	0.126	0	0.822	0.975
CCNB2	TOP2A	9606.ENSP00000288207	9606.ENSP00000411532	0	0	0	0	0.875	0.052	0	0.809	0.975
CCNB2	BIRC5	9606.ENSP00000288207	9606.ENSP00000301633	0	0	0	0	0.905	0.098	0.400	0.892	0.993
CCNB2	CDK1	9606.ENSP00000288207	9606.ENSP00000378699	0	0	0	0	0.899	0.882	0.900	0.996	0.999
CD44	COL1A1	9606.ENSP00000398632	9606.ENSP00000225964	0	0	0	0	0.062	0	0.900	0.882	0.987
CD44	EGFR	9606.ENSP00000398632	9606.ENSP00000275493	0	0	0	0	0.072	0.785	0	0.995	0.998
CD44	COL1A2	9606.ENSP00000398632	9606.ENSP00000297268	0	0	0	0	0.056	0	0.900	0.886	0.988
CD44	ELN	9606.ENSP00000398632	9606.ENSP00000351807	0	0	0	0	0	0	0	0.805	0.805
CD44	COL4A2	9606.ENSP00000398632	9606.ENSP00000353654	0	0	0	0	0.054	0	0.900	0.271	0.925
CD44	NES	9606.ENSP00000398632	9606.ENSP00000357206	0	0	0	0	0.044	0	0	0.888	0.888
CD44	HSPG2	9606.ENSP00000398632	9606.ENSP00000363827	0	0	0	0	0.044	0	0	0.802	0.802
CD44	COL4A1	9606.ENSP00000398632	9606.ENSP00000364979	0	0	0	0	0.067	0	0.900	0.290	0.928
CD44	IGFBP3	9606.ENSP00000398632	9606.ENSP00000370473	0	0	0	0	0.073	0.480	0	0.502	0.739
CD44	HMMR	9606.ENSP00000398632	9606.ENSP00000377492	0	0	0	0	0	0	0.500	0.991	0.995
CD44	LPL	9606.ENSP00000398632	9606.ENSP00000497642	0	0	0	0	0	0	0	0.700	0.700
CDCA2	NCAPG	9606.ENSP00000328228	9606.ENSP00000251496	0	0	0	0	0.794	0	0	0.350	0.860
CDCA2	CCNB2	9606.ENSP00000328228	9606.ENSP00000288207	0	0	0	0	0.602	0	0	0.500	0.793
CDCA2	CEP55	9606.ENSP00000328228	9606.ENSP00000360540	0	0	0	0	0.604	0	0	0.298	0.710
CDCA2	HJURP	9606.ENSP00000328228	9606.ENSP00000414109	0	0	0	0	0.655	0	0	0.305	0.750
CDCA2	KIF14	9606.ENSP00000328228	9606.ENSP00000356319	0	0	0	0	0.663	0	0	0.300	0.754
CDCA2	TOP2A	9606.ENSP00000328228	9606.ENSP00000411532	0	0	0	0	0.707	0	0	0.310	0.789
CDCA2	CDK1	9606.ENSP00000328228	9606.ENSP00000378699	0	0	0	0	0.606	0.292	0	0.447	0.832
CDCA2	ASPM	9606.ENSP00000328228	9606.ENSP00000356379	0	0	0	0	0.777	0	0	0.295	0.836
CDCA2	HMMR	9606.ENSP00000328228	9606.ENSP00000377492	0	0	0	0	0.783	0	0	0.281	0.837
CDCA2	PBK	9606.ENSP00000328228	9606.ENSP00000428489	0	0	0	0	0.804	0	0	0.317	0.860
CDCA2	KIF20A	9606.ENSP00000328228	9606.ENSP00000378356	0	0	0	0	0.801	0	0	0.512	0.899
