#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ACTL6B	9606.ENSP00000160382	Actin-like protein 6B; Involved in transcriptional activation and repression of select genes by chromatin remodeling (alteration of DNA-nucleosome topology). Component of SWI/SNF chromatin remodeling complexes that carry out key enzymatic activities, changing chromatin structure by altering DNA-histone contacts within a nucleosome in an ATP-dependent manner. Belongs to the neuron-specific chromatin remodeling complex (nBAF complex), as such plays a role in remodeling mononucleosomes in an ATP-dependent fashion, and is required for postmitotic neural development and dendritic outgrowth. [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=426:ACTIN(11|426)+	51412,53 kDa BRG1-associated factor B,A4D2D0,AAC78795.1,AAD54678.1,AAH20944.1,AAP21874.1,AB015906,AC099394,ACL6B_HUMAN,ACTL6,ACTL6B,ACTL6B-201,ACTL6B-202,ACTL6B-203,ACTL6B-204,ACTL6B-205,ACTL6B-206,AF041475,AF053356,AK314940,Actin like 6B,Actin-like protein 6B,Actin-related protein Baf53b,ArpNalpha,BAA74576.1,BAF53B,BAG37446.1,BC020944,BRG1-associated factor 53B,C9JQT4,CCDS5702,CCDS5702.1,CH236956,CH471091,EAL23823.1,EAW76502.1,EIEE76,ENSG00000077080,ENSP00000160382,ENSP00000420151,ENST00000160382,ENST00000160382.9,ENST00000461605,ENST00000461605.1,ENST00000485601,ENST00000485601.5,ENST00000487125,ENST00000487125.1,ENST00000487225,ENST00000487225.5,ENST00000489904,ENST00000489904.1,HGNC:160,HPA045126,IDDSSAD,NM_016188,NM_016188.4,NM_016188.5,NP_057272,NP_057272.1,NR_134539,NR_134539.2,NX_O94805,O75421,O94805,OMIM:612458,OTTHUMG00000159661,R-HSA-212436,R-HSA-3214858,R-HSA-3247509,R-HSA-4839726,R-HSA-73857,R-HSA-74160,R-HSA-8878171,R-HSA-8939243,UPI0000126725,UPI0001B791E7,URS0000CEEB61,actin like 6B,actin-like 6,arpNalpha,hsa:51412,uc003uvy.4
AK5	9606.ENSP00000346577	Adenylate kinase isoenzyme 5; Nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Active on AMP and dAMP with ATP as a donor. When GTP is used as phosphate donor, the enzyme phosphorylates AMP, CMP, and to a small extent dCMP. Also displays broad nucleoside diphosphate kinase activity.	https://smart.embl.de/smart/DDvec.cgi?smart=562:Pfam_AAA_18(135|274)+Pfam_AAA_17(382|515)+	2.7.4.3,2.7.4.6,26289,2BWJ,AAD27956.1,AAH12467.2,AAH33896.1,AAH36666.1,AAO16520.2,AAP97322.1,AC093433,AC093575,AC095030,AF062595,AF445193,AK 5,AK5,AK5-201,AK5-202,AK5-203,AK5-204,AK5-205,AK5-206,AK5-207,AK5-208,AK5-209,AK5-210,AK5-211,AK5-212,AK5-213,AK6,ATP-AMP transphosphorylase 5,AY171600,Adenylate kinase,Adenylate kinase 5,Adenylate kinase isoenzyme 5,BC012467,BC033896,BC036666,CAG46688.1,CCDS675,CCDS675.1,CCDS676,CCDS676.1,CR541890,E9PIS7,E9PQQ8,EC 2.7.4.3,ENSG00000154027,ENSP00000284162,ENSP00000284164,ENSP00000314988,ENSP00000338056,ENSP00000341430,ENSP00000346577,ENSP00000347632,ENSP00000354450,ENSP00000359840,ENSP00000359841,ENSP00000359842,ENSP00000359843,ENSP00000433915,ENSP00000434409,ENSP00000436859,ENST00000284162,ENST00000284164,ENST00000317704,ENST00000317704.8,ENST00000336645,ENST00000344720,ENST00000344720.9,ENST00000354567,ENST00000354567.6,ENST00000355457,ENST00000361130,ENST00000370804,ENST00000370805,ENST00000370806,ENST00000370807,ENST00000465146,ENST00000465146.5,ENST00000466114,ENST00000466114.1,ENST00000466393,ENST00000466393.1,ENST00000469394,ENST00000469394.1,ENST00000478255,ENST00000478255.1,ENST00000478407,ENST00000478407.1,ENST00000524494,ENST00000524494.1,ENST00000527263,ENST00000527263.1,ENST00000530826,ENST00000530826.1,ENST00000531672,ENST00000531672.1,H0YEZ1,HGNC:365,HPA019128,HPA057255,KAD5_HUMAN,KF459522,NM_012093,NM_012093.3,NM_012093.4,NM_174858,NM_174858.2,NM_174858.3,NP_036225,NP_036225.2,NP_777283,NP_777283.1,NX_Q9Y6K8,OMIM:608009,OTTHUMG00000009796,Q5U622,Q6FH66,Q7Z4T5,Q86YS0,Q8N464,Q96EC9,Q9Y6K8,R-HSA-1430728,R-HSA-15869,R-HSA-499943,UPI0000167E20,UPI0000167E21,UPI0001F77EDD,UPI0001F77EDE,UPI0001F77EDF,URS00008B2EC6,URS0000D2156B,URS0000EAC14C,XM_005270739,XM_005270739.5,XM_006710572,XM_006710572.3,XM_017001008,XM_017001008.1,XM_017001008.2,XM_017001009,XM_017001009.1,XM_017001010,XM_017001010.2,XM_017001011,XM_017001011.2,XM_017001012,XM_017001012.1,XP_005270796,XP_005270796.1,XP_006710635,XP_006710635.1,XP_016856497,XP_016856497.1,XP_016856498,XP_016856498.1,XP_016856499,XP_016856499.1,XP_016856500,XP_016856500.1,XP_016856501,XP_016856501.1,adenylate kinase 5,hsa:26289,uc001dhn.4
ANO3	9606.ENSP00000256737	Anoctamin-3; Has calcium-dependent phospholipid scramblase activity; scrambles phosphatidylcholine and galactosylceramide (By similarity). Seems to act as potassium channel regulator and may inhibit pain signaling; can facilitate KCNT1/Slack channel activity by promoting its full single-channel conductance at very low sodium concentrations and by increasing its sodium sensitivity (By similarity). Does not exhibit calcium-activated chloride channel (CaCC) activity.	https://smart.embl.de/smart/DDvec.cgi?smart=981:Pfam_Anoct_dimer(156|381)+Pfam_Anoctamin(384|949)+	63982,AC021698,AC036114,AC079064,AC083755,AC099687,AJ300461,AK295816,ANO3,ANO3-201,ANO3-202,ANO3-203,ANO3-204,ANO3-205,ANO3-206,ANO3-207,ANO3_HUMAN,Anoctamin 3,Anoctamin-3,B7Z3F5,BAH12191.1,C11orf25,CAC32454.1,CCDS31447,CCDS31447.1,CCDS81557,CCDS81557.1,DYT23,DYT24,E9PKW2,E9PQ79,ENSG00000134343,ENSP00000256737,ENSP00000379336,ENSP00000432394,ENSP00000432576,ENSP00000435275,ENSP00000440737,ENSP00000442241,ENSP00000500506,ENST00000256737,ENST00000256737.7,ENST00000396015,ENST00000525139,ENST00000525139.5,ENST00000529242,ENST00000529242.1,ENST00000531568,ENST00000531568.1,ENST00000531646,ENST00000531646.1,ENST00000531798,ENST00000531798.1,ENST00000537978,ENST00000538001,ENST00000672621,GENX-3947,HGNC:14004,HPA041629,NM_001313726,NM_001313726.1,NM_001313727,NM_001313727.1,NM_031418,NM_031418.3,NM_031418.4,NP_001300655,NP_001300655.1,NP_001300656,NP_001300656.1,NP_113606,NP_113606.2,NX_Q9BYT9,OMIM:610110,OTTHUMG00000166096,Q9BYT9,R-HSA-2672351,R-HSA-382551,R-HSA-983712,TMEM16C,Transmembrane protein 16C,UPI00001F9ED8,UPI00004DC83D,UPI0001F78163,UPI0001F78164,UPI000387B6AD,URS000035743F,XM_017018118,XM_017018118.1,XM_017018118.2,XM_017018119,XM_017018119.2,XP_016873607,XP_016873607.1,XP_016873608,XP_016873608.1,anoctamin 3,chromosome 11 open reading frame 25,dystonia 23,hsa:63982,transmembrane protein 16C,uc001mqt.5
ARPP21	9606.ENSP00000412326	cAMP-regulated phosphoprotein 21; Isoform 2 may act as a competitive inhibitor of calmodulin- dependent enzymes such as calcineurin in neurons.	https://smart.embl.de/smart/DDvec.cgi?smart=813:R3H(147|224)+	10777,A8K1F3,AA733082,AAF17207.1,AAH17805.1,AAH31106.1,AAH36399.1,AAH41385.1,AAH51828.1,AAH66651.1,AC016943,AC104308,AC133143,AF112220,AK055064,AK289868,AK294484,AL133109,ARP21_HUMAN,ARPP-21,ARPP21,ARPP21-201,ARPP21-202,ARPP21-203,ARPP21-204,ARPP21-205,ARPP21-206,ARPP21-207,ARPP21-208,ARPP21-209,ARPP21-210,ARPP21-211,ARPP21-212,ARPP21-213,ARPP21-214,ARPP21-215,ARPP21-216,ARPP21-217,ARPP21-218,ARPP21-219,ARPP21-220,ARPP21-221,ARPP21-222,ARPP21-223,ARPP21-224,ARPP21-225,ARPP21-226,ARPP21-227,ARPP21-228,ARPP21-229,ARPP21-230,ARPP21-231,ARPP21-232,ARPP21-233,ARPP21-234,ARPP21-235,B4DG96,BAF82557.1,BAG51459.1,BAG57707.1,BC017805,BC031106,BC036399,BC041385,BC051828,BC066651,C9J091,C9J2U3,C9J5R1,C9JD93,C9JI74,C9JQQ6,C9JTF2,C9JTX6,CAB61414.1,CCDS2661,CCDS2661.1,CCDS43063,CCDS43063.1,CCDS58823,CCDS58823.1,CCDS58824,CCDS58824.1,CH471055,EAW64470.1,EAW64471.1,EAW64472.1,ENSG00000172995,ENSP00000187397,ENSP00000264745,ENSP00000304821,ENSP00000309466,ENSP00000337792,ENSP00000379741,ENSP00000379742,ENSP00000389754,ENSP00000390151,ENSP00000390169,ENSP00000396116,ENSP00000396324,ENSP00000397720,ENSP00000398598,ENSP00000399482,ENSP00000401602,ENSP00000405276,ENSP00000406964,ENSP00000407261,ENSP00000408271,ENSP00000409331,ENSP00000409808,ENSP00000410171,ENSP00000410599,ENSP00000411644,ENSP00000412233,ENSP00000412326,ENSP00000412341,ENSP00000412411,ENSP00000413005,ENSP00000414351,ENSP00000415134,ENSP00000417838,ENST00000187397,ENST00000187397.8,ENST00000264745,ENST00000302376,ENST00000309715,ENST00000337271,ENST00000396481,ENST00000396481.6,ENST00000396482,ENST00000396482.6,ENST00000412048,ENST00000412048.5,ENST00000413378,ENST00000413378.5,ENST00000414496,ENST00000414496.5,ENST00000417925,ENST00000417925.5,ENST00000419330,ENST00000419330.5,ENST00000421492,ENST00000421492.5,ENST00000425289,ENST00000425289.5,ENST00000427542,ENST00000427542.5,ENST00000427590,ENST00000427590.1,ENST00000428373,ENST00000428373.5,ENST00000430388,ENST00000432450,ENST00000432450.5,ENST00000432682,ENST00000432682.5,ENST00000434383,ENST00000434383.6,ENST00000436702,ENST00000436702.5,ENST00000438071,ENST00000438071.1,ENST00000438577,ENST00000438577.5,ENST00000441454,ENST00000441454.5,ENST00000444190,ENST00000444190.5,ENST00000446068,ENST00000446068.6,ENST00000449196,ENST00000449196.5,ENST00000450234,ENST00000450234.5,ENST00000452563,ENST00000452563.5,ENST00000457165,ENST00000457165.5,ENST00000458225,ENST00000461826,ENST00000461826.1,ENST00000462173,ENST00000462173.1,ENST00000463970,ENST00000463970.5,ENST00000473138,ENST00000473138.1,ENST00000474696,ENST00000474696.5,ENST00000476052,ENST00000476052.1,ENST00000476327,ENST00000476327.1,ENST00000481854,ENST00000481854.1,ENST00000494494,ENST00000494494.1,F8WDL2,H7C0P9,H7C1B6,H7C2X8,H7C3J7,HGNC:16968,HPA017303,NM_001025068,NM_001025068.1,NM_001025069,NM_001025069.1,NM_001267616,NM_001267616.1,NM_001267616.2,NM_001267617,NM_001267617.1,NM_001267618,NM_001267618.1,NM_001267618.2,NM_001267619,NM_001267619.1,NM_016300,NM_016300.4,NM_198399,NM_198399.1,NM_198399.2,NP_001020239,NP_001020239.1,NP_001020240,NP_001020240.1,NP_001254545,NP_001254545.1,NP_001254546,NP_001254546.1,NP_001254547,NP_001254547.1,NP_001254548,NP_001254548.1,NP_057384,NP_057384.2,NP_938409,NP_938409.1,NX_Q9UBL0,OMIM:605488,OTTHUMG00000130795,Q49AK3,Q49AS6,Q4G0V4,Q6NYC3,Q86V31,Q9UBL0,Q9UF93,R3H domain containing 3,R3HDM3,TARPP,Thymocyte cAMP-regulated phosphoprotein,UPI0000125BC2,UPI0000192731,UPI0000209B3D,UPI00004570DC,UPI0000E0825C,UPI000198CA18,UPI000198CA19,UPI000198CA1A,UPI000198CA1B,UPI000198CA1C,UPI000198CA1D,UPI000198CA1E,UPI000198CA1F,UPI000198CA20,UPI000198CA22,UPI000198CA23,UPI0001E8F305,URS00008B5775,URS00008C247C,URS0000EA34D8,URS0000EA53AE,URS0000EAC1A3,URS0000EAD523,URS0000EB2DFD,URS0000EC005D,XM_005264811,XM_005264811.3,XM_006712943,XM_006712943.2,XM_006712943.3,XM_006712944,XM_006712944.2,XM_006712944.3,XM_011533298,XM_011533298.3,XM_011533299,XM_011533299.3,XM_011533300,XM_011533300.3,XM_011533301,XM_011533301.3,XM_011533302,XM_011533302.3,XM_011533303,XM_011533303.3,XM_017005574,XM_017005574.2,XM_017005575,XM_017005575.2,XM_017005576,XM_017005576.2,XM_017005577,XM_017005577.2,XM_017005579,XM_017005579.2,XM_017005580,XM_017005580.2,XM_017005581,XM_017005581.2,XM_017005582,XM_017005582.2,XM_017005583,XM_017005583.2,XM_017005584,XM_017005584.2,XM_017005585,XM_017005585.2,XM_017005586,XM_017005586.2,XM_017005587,XM_017005587.2,XM_017005588,XM_017005588.2,XM_017005589,XM_017005589.2,XM_017005590,XM_017005590.2,XM_017005591,XM_017005591.2,XM_017005592,XM_017005592.1,XM_017005592.2,XM_017005593,XM_017005593.1,XM_017005593.2,XM_017005594,XM_017005594.1,XM_017005595,XM_017005595.1,XM_017005595.2,XM_017005596,XM_017005596.2,XM_017005597,XM_017005597.2,XM_017005598,XM_017005598.2,XM_017005599,XM_017005599.2,XM_017005600,XM_017005600.2,XM_017005601,XM_017005601.2,XM_017005602,XM_017005602.1,XM_017005602.2,XM_017005603,XM_017005603.1,XM_017005603.2,XM_017005604,XM_017005604.1,XM_017005604.2,XM_017005605,XM_017005605.1,XM_017005605.2,XM_017005606,XM_017005606.1,XM_017005606.2,XM_017005607,XM_017005607.2,XM_017005610,XM_017005610.2,XM_017005612,XM_017005612.2,XM_024453320,XM_024453320.1,XM_024453322,XM_024453322.1,XM_024453323,XM_024453323.1,XM_024453324,XM_024453324.1,XP_005264868,XP_005264868.1,XP_006713006,XP_006713006.1,XP_006713007,XP_006713007.1,XP_011531600,XP_011531600.1,XP_011531601,XP_011531601.1,XP_011531602,XP_011531602.1,XP_011531603,XP_011531603.1,XP_011531604,XP_011531604.1,XP_011531605,XP_011531605.1,XP_016861063,XP_016861063.1,XP_016861064,XP_016861064.1,XP_016861065,XP_016861065.1,XP_016861066,XP_016861066.1,XP_016861068,XP_016861068.1,XP_016861069,XP_016861069.1,XP_016861070,XP_016861070.1,XP_016861071,XP_016861071.1,XP_016861072,XP_016861072.1,XP_016861073,XP_016861073.1,XP_016861074,XP_016861074.1,XP_016861075,XP_016861075.1,XP_016861076,XP_016861076.1,XP_016861077,XP_016861077.1,XP_016861078,XP_016861078.1,XP_016861079,XP_016861079.1,XP_016861080,XP_016861080.1,XP_016861081,XP_016861081.1,XP_016861082,XP_016861082.1,XP_016861083,XP_016861083.1,XP_016861084,XP_016861084.1,XP_016861085,XP_016861085.1,XP_016861086,XP_016861086.1,XP_016861087,XP_016861087.1,XP_016861088,XP_016861088.1,XP_016861089,XP_016861089.1,XP_016861090,XP_016861090.1,XP_016861091,XP_016861091.1,XP_016861092,XP_016861092.1,XP_016861093,XP_016861093.1,XP_016861094,XP_016861094.1,XP_016861095,XP_016861095.1,XP_016861096,XP_016861096.1,XP_016861099,XP_016861099.1,XP_016861101,XP_016861101.1,XP_024309088,XP_024309088.1,XP_024309090,XP_024309090.1,XP_024309091,XP_024309091.1,XP_024309092,XP_024309092.1,cAMP regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein, 21kDa,uc003cfz.5,uc003cgb.4
ASPA	9606.ENSP00000263080	Aspartoacylase; Catalyzes the deacetylation of N-acetylaspartic acid (NAA) to produce acetate and L-aspartate. NAA occurs in high concentration in brain and its hydrolysis NAA plays a significant part in the maintenance of intact white matter. In other tissues it act as a scavenger of NAA from body fluids.	https://smart.embl.de/smart/DDvec.cgi?smart=313:Pfam_AstE_AspA(10|301)+	2I3C,2O4H,2O53,2Q51,3.5.1.15,443,4MRI,4MXU,4NFR,4TNU,AAB29190.1,AAH29128.1,AC025125,ACY-2,ACY2,ACY2_HUMAN,AK312901,ASP,ASPA,ASPA-201,ASPA-202,ASPA-203,ASPA-204,Aminoacylase-2,Aspartoacylase,BAG35747.1,BC029128,CAG46706.1,CCDS11028,CCDS11028.1,CH471108,CR541908,Canavan disease,EAW90506.1,EC 3.5.1.15,ENSG00000108381,ENSP00000263080,ENSP00000371361,ENSP00000409976,ENSP00000458324,ENSP00000461358,ENST00000263080,ENST00000263080.2,ENST00000381936,ENST00000456349,ENST00000456349.6,ENST00000571278,ENST00000571278.1,ENST00000577034,ENST00000577034.1,HGNC:756,HPA022142,HPA022145,I3L0T3,I3L4M0,NM_000049,NM_000049.2,NM_000049.4,NM_001128085,NM_001128085.1,NP_000040,NP_000040.1,NP_001121557,NP_001121557.1,NX_P45381,OMIM:608034,OTTHUMG00000090655,P45381,Q6FH48,R-HSA-1430728,R-HSA-71291,R-HSA-8963693,S67156,UPI00000012D1,UPI00025A2CE7,UPI0003F47EEB,URS0000EB064B,XM_017024661,XM_017024661.1,XM_024450764,XM_024450764.1,XP_016880150,XP_016880150.1,XP_024306532,XP_024306532.1,XR_934026,XR_934026.2,aminoacylase 2,aspartoacylase,aspartoacylase (aminoacylase 2, Canavan disease),hsa:443,uc002fvq.4
ATP2B2	9606.ENSP00000353414	Plasma membrane calcium-transporting ATPase 2; This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium out of the cell.	https://smart.embl.de/smart/DDvec.cgi?smart=1243:Cation_ATPase_N(47|123)+TRANS(148|170)+Pfam_E1-E2_ATPase(187|305)+Pfam_E1-E2_ATPase(373|477)+Pfam_Cation_ATPase(538|638)+Pfam_Hydrolase_3(791|865)+TRANS(878|900)+Pfam_Cation_ATPase_C(902|1084)+Pfam_ATP_Ca_trans_C(1126|1172)+	3.6.3.8,491,7.2.2.10,A0A024R2E4,A0A024R2K6,A0A2R8Y4R4,A0A2R8Y535,A0A2U3TZI3,A0A2U3U055,AAA36456.1,AAA50877.1,AAA51893.1,AAA60985.1,AC018839,AC022384,AC090841,AT2B2_HUMAN,ATP2B2,ATP2B2-201,ATP2B2-202,ATP2B2-203,ATP2B2-204,ATP2B2-205,ATP2B2-206,ATP2B2-207,ATP2B2-208,ATP2B2-209,ATP2B2-210,ATP2B2-211,ATP2B2-212,ATP2B2-213,ATP2B2-214,ATPase plasma membrane Ca2+ transporting 2,ATPase, Ca++ transporting, plasma membrane 2,CAA45131.1,CAB005606,CCDS2601,CCDS2601.1,CCDS33701,CCDS33701.1,CCDS82733,CCDS82733.1,CCDS87040,CCDS87040.1,CH471055,EAW64079.1,EAW64080.1,EAW64082.1,EAW64084.1,EC 3.6.3.8,EC 7.2.2.10,ENSG00000157087,ENSP00000287746,ENSP00000287749,ENSP00000324172,ENSP00000324226,ENSP00000342954,ENSP00000344677,ENSP00000353414,ENSP00000373311,ENSP00000380267,ENSP00000393948,ENSP00000414854,ENSP00000424494,ENSP00000442556,ENSP00000492732,ENSP00000494004,ENSP00000494252,ENSP00000494381,ENSP00000494716,ENSP00000495228,ENSP00000495924,ENST00000287746,ENST00000287749,ENST00000316913,ENST00000316947,ENST00000342354,ENST00000343816,ENST00000352432,ENST00000352432.9,ENST00000360273,ENST00000360273.6,ENST00000383800,ENST00000397077,ENST00000397077.6,ENST00000429937,ENST00000452124,ENST00000452124.2,ENST00000460129,ENST00000460129.5,ENST00000467702,ENST00000467702.3,ENST00000468426,ENST00000468426.1,ENST00000480680,ENST00000480680.2,ENST00000535386,ENST00000638646,ENST00000638646.2,ENST00000643662,ENST00000643662.1,ENST00000644553,ENST00000644553.1,ENST00000644807,ENST00000644807.1,ENST00000645850,ENST00000645850.1,ENST00000646379,ENST00000646379.1,H0Y7S3,HGNC:815,KF457572,KF457574,KF495694,KF510221,L00620,L20977,M97260,NM_001001331,NM_001001331.2,NM_001001331.4,NM_001330611,NM_001330611.1,NM_001330611.3,NM_001353564,NM_001353564.1,NM_001363862,NM_001363862.1,NM_001683,NM_001683.5,NP_001001331,NP_001001331.1,NP_001317540,NP_001317540.1,NP_001340493,NP_001340493.1,NP_001350791,NP_001350791.1,NP_001674,NP_001674.2,NX_Q01814,O00766,OMIM:108733,OTTHUMG00000128679,P-type Ca2+ transporter type 2B,PMCA2,PMCA2a,PMCA2i,Plasma membrane calcium ATPase isoform 2,Plasma membrane calcium pump isoform 2,Plasma membrane calcium-transporting ATPase 2,Q01814,Q12994,Q16818,R-HSA-109582,R-HSA-382551,R-HSA-397014,R-HSA-418346,R-HSA-418359,R-HSA-418360,R-HSA-5576891,R-HSA-5578775,R-HSA-936837,R-HSA-983712,U15688,UPI000002A443,UPI000002A445,UPI00001261EF,UPI0000E08117,UPI0001FDB7F8,UPI0007DC6FAF,UPI000D1901CE,UPI000D190759,UPI000D1955CC,X63575,XM_005265179,XM_005265179.4,XM_005265179.5,XM_006713175,XM_006713175.3,XM_006713175.4,XM_011533752,XM_011533752.2,XM_011533752.3,XM_017006481,XM_017006481.1,XM_017006481.2,XM_017006482,XM_017006482.1,XM_017006482.2,XM_017006483,XM_017006483.1,XM_017006483.2,XM_017006484,XM_017006484.1,XM_017006484.2,XM_017006485,XM_017006485.2,XM_017006486,XM_017006486.1,XM_017006486.2,XM_017006487,XM_017006487.1,XM_017006488,XM_017006488.2,XM_017006489,XM_017006489.1,XM_017006489.2,XM_017006492,XM_017006492.2,XP_005265236,XP_005265236.1,XP_006713238,XP_006713238.1,XP_011532054,XP_011532054.1,XP_016861970,XP_016861970.1,XP_016861971,XP_016861971.1,XP_016861972,XP_016861972.1,XP_016861973,XP_016861973.1,XP_016861974,XP_016861974.1,XP_016861975,XP_016861975.1,XP_016861976,XP_016861976.1,XP_016861977,XP_016861977.1,XP_016861978,XP_016861978.1,XP_016861981,XP_016861981.1,hsa:491,plasma membrane Ca2+ pump 2,plasma membrane calcium-transporting ATPase 2,uc003bvt.3,uc003bvw.3
C11orf87	9606.ENSP00000331581	Uncharacterized protein C11orf87; Chromosome 11 open reading frame 87.	https://smart.embl.de/smart/DDvec.cgi?smart=197:TRANS(62|84)+	399947,A0A158RFU1,AAH35798.2,AAH68577.1,AB096240,AK303693,AP000775,B4E169,BAG64681.1,BC035798,BC068577,C11orf87,C11orf87-201,CCDS31672,CCDS31672.1,CH471065,CK087_HUMAN,Chromosome 11 open reading frame 87,EAW67125.1,ENSG00000185742,ENSP00000331581,ENST00000327419,ENST00000327419.6,HGNC:33788,HPA034656,LOC399947,LOH11CR1A,NEURIM1,NM_207645,NM_207645.3,NM_207645.4,NP_997528,NP_997528.2,NX_Q6NUJ2,OTTHUMG00000166559,Q6NUJ2,UPI000013E5BC,Uncharacterized protein C11orf87,XM_011542818,XM_011542818.2,XP_011541120,XP_011541120.1,chromosome 11 open reading frame 87,hsa:399947,neuronal integral membrane protein 1,uc010rwb.3
C1QTNF4	9606.ENSP00000302274	Complement C1q tumor necrosis factor-related protein 4; May be involved in the regulation of the inflammatory network. Its role as pro- or anti-inflammatory seems to be context dependent. Seems to have some role in regulating food intake and energy balance when administered in the brain. This effect is sustained over a two-day period, and it is accompanied by decreased expression of orexigenic neuropeptides in the hypothalamus 3 h post-injection (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=329:SIGNAL(1|16)+C1Q(23|159)+C1Q(170|314)+	114900,A0A3B0J0L9,AAH35628.1,AAK17962.1,AC104942,ADIN,AF329838,BC035628,C1QT4_HUMAN,C1QTNF4,C1QTNF4-201,C1QTNF4-202,C1q and TNF related 4,C1q and tumor necrosis factor related protein 4,C1q/TNF-related protein 4,CCDS7942,CCDS7942.1,CTRP4,E9PPZ5,ENSG00000172247,ENSP00000302274,ENSP00000434548,ENST00000302514,ENST00000302514.3,ENST00000530097,HGNC:14346,HPA041032,LT962977,NM_031909,NM_031909.2,NM_031909.3,NP_114115,NP_114115.2,NX_Q9BXJ3,OMIM:614911,OTTHUMG00000166895,Q8IV25,Q9BXJ3,SOR70195.1,UPI00000746B6,UPI0001F77E97,XM_017017165,XM_017017165.1,XM_017017166,XM_017017166.1,XP_016872654,XP_016872654.1,XP_016872655,XP_016872655.1,ZACRP4,hsa:114900,uc001ngc.3
CABP1	9606.ENSP00000317310	Calcium-binding protein 1; Modulates calcium-dependent activity of inositol 1,4,5- triphosphate receptors (ITPRs). Inhibits agonist- induced intracellular calcium signaling. Enhances inactivation and does not support calcium-dependent facilitation of voltage-dependent P/Q-type calcium channels. Causes calcium-dependent facilitation and inhibits inactivation of L-type calcium channels by binding to the same sites as calmodulin in the C- terminal domain of CACNA1C, but has an opposite effect on channel function. Suppresses the calcium-dependent inactivation of CACNA1D (By similarity). In [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=370:EFh(229|257)+EFh(306|334)+EFh(343|370)+	2K7B,2K7C,2K7D,2LAN,2LAP,3OX5,3OX6,9478,AAF25782.1,AAF25783.1,AAH30201.2,AC069234,AF169148,AF169149,BC030201,C9J8G2,CAA64361.1,CABP1,CABP1-201,CABP1-202,CABP1-203,CABP1-204,CABP1-205,CABP1_HUMAN,CALBRAIN,CCDS31913,CCDS31913.1,CCDS9204,CCDS9204.1,CCDS9205,CCDS9205.1,CaBP1,Calbrain,Calcium binding protein 1,Calcium-binding protein 1,Calcium-binding protein 1/2/4/5,Caldendrin,ENSG00000157782,ENSP00000288615,ENSP00000288616,ENSP00000317310,ENSP00000398959,ENST00000288616,ENST00000288616.7,ENST00000316803,ENST00000316803.7,ENST00000351200,ENST00000351200.6,ENST00000453000,ENST00000453000.1,ENST00000498082,ENST00000498082.1,HCALB_BR,HGNC:1384,HPA051438,NM_001033677,NM_001033677.1,NM_004276,NM_004276.4,NM_004276.5,NM_031205,NM_031205.3,NM_031205.4,NP_001028849,NP_001028849.1,NP_004267,NP_004267.2,NP_112482,NP_112482.1,NX_Q9NZU7,O95663,OMIM:605563,OTTHUMG00000156794,Q8N6H5,Q9NZU7,Q9NZU8,UPI000013DF27,UPI00001678B2,UPI00005B3D8A,UPI0000E599FA,X94700,XM_017020235,XM_017020235.1,XM_017020238,XM_017020238.2,XM_017020239,XM_017020239.2,XM_024449280,XM_024449280.1,XM_024449281,XM_024449281.1,XP_016875724,XP_016875724.1,XP_016875727,XP_016875727.1,XP_016875728,XP_016875728.1,XP_024305048,XP_024305048.1,XP_024305049,XP_024305049.1,calbrain,calcium binding protein 1,caldendrin,hsa:9478,uc001tyu.4,uc001tyv.5
CACNG3	9606.ENSP00000005284	Voltage-dependent calcium channel gamma-3 subunit; Regulates the trafficking to the somatodendritic compartment and gating properties of AMPA-selective glutamate receptors (AMPARs). Promotes their targeting to the cell membrane and synapses and modulates their gating properties by slowing their rates of activation, deactivation and desensitization. Does not show subunit-specific AMPA receptor regulation and regulates all AMPAR subunits. Thought to stabilize the calcium channel in an inactivated (closed) state.	https://smart.embl.de/smart/DDvec.cgi?smart=315:Pfam_Claudin_2(18|198)+	10368,AAC15246.1,AAD22739.1,AAF42975.1,AAH37899.1,AAH40005.1,AAP97231.1,AC004125,AF100346,AF114832,AF131911,AF134640,BC037899,BC040005,CACNG3,CACNG3-201,CCDS10620,CCDS10620.1,CCG3_HUMAN,CHEMBL2363032,ENSG00000006116,ENSP00000005284,ENST00000005284,ENST00000005284.3,HGNC:1407,HPA059010,HPA077238,NM_006539,NM_006539.3,NM_006539.4,NP_006530,NP_006530.1,NX_O60359,O60359,OMIM:606403,OTTHUMG00000131651,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1266738,R-HSA-397014,R-HSA-399719,R-HSA-399721,R-HSA-5576891,R-HSA-5576892,R-HSA-5576893,R-HSA-5682910,TARP gamma-3,Transmembrane AMPAR regulatory protein gamma-3,UPI000000D979,Voltage-dependent calcium channel gamma-3,hsa:10368,uc002dmf.4
