#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ABCC3	9606.ENSP00000285238	Canalicular multispecific organic anion transporter 2; May act as an inducible transporter in the biliary and intestinal excretion of organic anions. Acts as an alternative route for the export of bile acids and glucuronides from cholestatic hepatocytes (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=1527:TRANS(37|56)+TRANS(63|85)+TRANS(100|122)+TRANS(134|153)+TRANS(168|190)+Pfam_ABC_membrane(311|582)+AAA(653|828)+Pfam_ABC_membrane(971|1240)+AAA(1315|1500)+	8714,AAB71756.1,AAC34668.1,AAD01430.1,AAD02845.1,AAD02846.1,AAD02847.1,AAD04170.1,AAD38185.1,AAH46126.1,AAI37348.1,AAI37349.1,AB010887,ABC31,ABCC3,ABCC3-201,ABCC3-202,ABCC3-203,ABCC3-204,ABCC3-205,ABCC3-206,ABCC3-207,ABCC3-208,ABCC3-209,ABCC3-210,ABCC3-211,ABCC3-212,ABCC3-213,ABCC3-214,ABCC3-215,ABCC3-216,ABCC3-217,ABCC3-218,AC004590,AC005921,AF009670,AF083552,AF085690,AF085691,AF085692,AF104943,AF154001,ATP binding cassette subfamily C member 3,ATP-binding cassette sub-family C member 3,B2RPA9,BAA28146.1,BC046126,BC137347,BC137348,CAA76658.2,CAB037136,CCDS32681,CCDS32681.1,CCDS45739,CCDS45739.1,CH471109,CHEMBL5918,CMOAT2,D3DTX9,D6RAB7,D6RJE5,EAW94590.1,EAW94592.1,EAW94593.1,ENSG00000108846,ENSP00000262016,ENSP00000285238,ENSP00000395160,ENSP00000406007,ENSP00000421755,ENSP00000422058,ENSP00000422786,ENSP00000424981,ENSP00000425697,ENSP00000427073,ENSP00000427384,ENSP00000427521,ENST00000262016,ENST00000285238,ENST00000285238.12,ENST00000427699,ENST00000427699.5,ENST00000427959,ENST00000502426,ENST00000502426.5,ENST00000503304,ENST00000503304.1,ENST00000503337,ENST00000503337.1,ENST00000504586,ENST00000504586.1,ENST00000505699,ENST00000505699.5,ENST00000506464,ENST00000506464.5,ENST00000508929,ENST00000508929.1,ENST00000510633,ENST00000510633.5,ENST00000510891,ENST00000510891.1,ENST00000513511,ENST00000513511.5,ENST00000513589,ENST00000513589.1,ENST00000513745,ENST00000513745.1,ENST00000515070,ENST00000515070.1,ENST00000515585,ENST00000515585.1,ENST00000515707,ENST00000515707.1,ENST00000571855,ENST00000571855.1,EST90757,H0Y8Q6,H0Y8T5,H0Y9T4,HGNC:54,HPA048483,MLP2,MOAT-D,MRP3,MRP3_HUMAN,Multi-specific organic anion transporter D,Multidrug resistance-associated protein 3,NM_001144070,NM_001144070.1,NM_001144070.2,NM_003786,NM_003786.3,NM_003786.4,NM_020038,NP_001137542,NP_001137542.1,NP_003777,NP_003777.2,NX_O15438,O15438,O60265,O60922,O75621,O95078,O95289,O95290,OMIM:604323,OTTHUMG00000162245,Q86X85,Q9UN52,R-HSA-1430728,R-HSA-159418,R-HSA-194068,R-HSA-382551,R-HSA-382556,R-HSA-556833,R-HSA-8957322,U83659,UPI000002AE5B,UPI000002AE5C,UPI000004B145,UPI0000E5A00E,UPI0000E5A00F,UPI0001D3B884,UPI0001D3B885,UPI0001D3B886,UPI0001E8F5F3,URS00008B6CF8,URS00008C2448,URS0000E98954,Y17151,cMOAT2,hsa:8714,uc002isk.5,uc002isl.4
APOL4	9606.ENSP00000338260	Apolipoprotein L4; May play a role in lipid exchange and transport throughout the body. May participate in reverse cholesterol transport from peripheral cells to the liver (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=351:SIGNAL(1|21)+Pfam_ApoL(46|348)+	80832,AAG50350.1,AAG50351.1,AAG50352.1,AAG50353.1,AAH06276.1,AAK20212.1,AF305226,APOL-IV,APOL4,APOL4-201,APOL4-202,APOL4-203,APOL4-204,APOL4-205,APOL4-206,APOL4-207,APOL4-208,APOL4-209,APOL4-210,APOL4-211,APOL4-212,APOL4_HUMAN,APOLIV,AY014909,AY014910,AY014911,AY014912,AY014913,AY014914,AY014915,ApoL-IV,Apolipoprotein L,Apolipoprotein L-IV,Apolipoprotein L4,B1AHJ0,B1AHJ2,BC006276,CCDS74851,CCDS74851.1,CCDS74852,CCDS74852.1,CH471095,E9PS31,EAW60086.1,ENSG00000100336,ENSP00000216172,ENSP00000331089,ENSP00000333229,ENSP00000338260,ENSP00000380445,ENSP00000388936,ENSP00000393096,ENSP00000395548,ENSP00000409085,ENSP00000409301,ENSP00000432133,ENSP00000483497,ENST00000216172,ENST00000328429,ENST00000328429.8,ENST00000332987,ENST00000332987.5,ENST00000337748,ENST00000352371,ENST00000352371.5,ENST00000397275,ENST00000397275.6,ENST00000419360,ENST00000419360.5,ENST00000436763,ENST00000436763.1,ENST00000449084,ENST00000449084.2,ENST00000457630,ENST00000457630.6,ENST00000458548,ENST00000480236,ENST00000480236.2,ENST00000493203,ENST00000493203.6,ENST00000613247,ENST00000613247.4,ENST00000616056,ENST00000616056.4,F5H1P9,HGNC:14867,HPA049797,HPA055435,KF459718,NM_030643,NM_030643.4,NM_145660,NM_145660.2,NP_085146,NP_085146.2,NP_663693,NP_663693.1,NX_Q9BPW4,OMIM:607254,OTTHUMG00000150630,Q9BPW4,Q9BQ37,Q9BRG6,Q9BXQ8,UPI000002A3E4,UPI000006F68A,UPI0000125C98,UPI00016110A8,UPI0001F78762,UPI000204A813,UPI0003F48259,URS00008BC1C4,Z95114,apolipoprotein L4,hsa:80832,uc032qne.2,uc032qnf.2
ASPM	9606.ENSP00000356379	Abnormal spindle-like microcephaly-associated protein; Involved in mitotic spindle regulation and coordination of mitotic processes. The function in regulating microtubule dynamics at spindle poles including spindle orientation, astral microtubule density and poleward microtubule flux seems to depend on the association with the katanin complex formed by KATNA1 and KATNB1. Enhances the microtubule lattice severing activity of KATNA1 by recruiting the katanin complex to microtubules. Can block microtubule minus-end growth and reversely this function can be enhanced by the katanin complex [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=3477:Pfam_ASH(37|134)+CH(922|1054)+CH(1112|1256)+IQ(1265|1287)+IQ(1314|1336)+IQ(1346|1368)+IQ(1392|1414)+IQ(1419|1441)+IQ(1463|1485)+IQ(1486|1508)+IQ(1509|1535)+IQ(1536|1558)+IQ(1559|1580)+IQ(1581|1603)+IQ(1604|1626)+IQ(1631|1653)+IQ(1654|1676)+IQ(1677|1699)+IQ(1727|1749)+IQ(1750|1772)+IQ(1773|1795)+IQ(1800|1822)+IQ(1823|1845)+IQ(1846|1868)+IQ(1873|1895)+IQ(1896|1918)+IQ(1946|1968)+IQ(1969|1991)+IQ(1992|2014)+IQ(2019|2041)+IQ(2042|2064)+IQ(2065|2087)+IQ(2092|2114)+IQ(2115|2137)+IQ(2138|2160)+IQ(2165|2187)+IQ(2188|2210)+IQ(2238|2260)+IQ(2261|2283)+IQ(2284|2306)+IQ(2310|2332)+IQ(2333|2355)+IQ(2383|2405)+IQ(2406|2428)+IQ(2456|2478)+IQ(2479|2501)+IQ(2529|2551)+IQ(2552|2574)+IQ(2623|2645)+IQ(2664|2686)+IQ(2687|2709)+IQ(2737|2759)+IQ(2813|2835)+IQ(2858|2880)+IQ(2881|2903)+IQ(2908|2930)+IQ(2931|2952)+IQ(2953|2975)+IQ(2999|3021)+IQ(3028|3050)+IQ(3051|3073)+IQ(3078|3100)+IQ(3116|3138)+IQ(3139|3161)+IQ(3180|3202)+IQ(3203|3225)+	259266,AAH15396.1,AAH34607.1,AAM44119.1,AAM44120.1,AAM44121.1,AAM44122.1,AAM48745.1,AAN40011.1,AAR12641.1,AAY46814.1,AF509326,AK001411,AL353809,AL627208,ASP,ASPM,ASPM-201,ASPM-202,ASPM-203,ASPM_HUMAN,AY099890,AY099891,AY099892,AY099893,AY101201,AY367065,AY971956,Abnormal spindle microtubule assembly,Abnormal spindle protein homolog,Asp homolog,Assembly factor for spindle microtubules,BAA91676.1,BC015396,BC034607,CAB017816,CCDS1389,CCDS1389.1,CCDS55672,CCDS55672.1,CH471067,Calmbp1,EAW91273.1,EAW91274.1,ENSG00000066279,ENSP00000263948,ENSP00000294732,ENSP00000325924,ENSP00000326297,ENSP00000326553,ENSP00000343965,ENSP00000356376,ENSP00000356377,ENSP00000356378,ENSP00000356379,ENSP00000415595,ENSP00000479244,ENST00000263948,ENST00000294732,ENST00000294732.11,ENST00000318429,ENST00000318466,ENST00000318496,ENST00000344652,ENST00000367406,ENST00000367407,ENST00000367408,ENST00000367408.5,ENST00000367409,ENST00000367409.8,ENST00000445725,ENST00000612785,FLJ10517,FLJ10549,HGNC:19048,MCPH5,NM_001206846,NM_001206846.1,NM_018136,NM_018136.4,NM_018136.5,NP_001193775,NP_001193775.1,NP_060606,NP_060606.3,NX_Q8IZT6,OMIM:605481,OTTHUMG00000036277,Q4G1H1,Q5VYL3,Q5VYL4,Q86UX4,Q8IUL2,Q8IZJ7,Q8IZJ8,Q8IZJ9,Q8IZT6,Q8N4D1,Q9NVS1,Q9NVT6,UPI00003B2583,UPI00004562CA,UPI0000458904,abnormal spindle microtubule assembly,assembly factor for spindle microtubules,hsa:259266,microcephaly, primary autosomal recessive 5,uc001gtu.4
BIRC5	9606.ENSP00000301633	Baculoviral IAP repeat-containing protein 5; Multitasking protein that has dual roles in promoting cell proliferation and preventing apoptosis. Component of a chromosome passage protein complex (CPC) which is essential for chromosome alignment and segregation during mitosis and cytokinesis. Acts as an important regulator of the localization of this complex; directs CPC movement to different locations from the inner centromere during prometaphase to midbody during cytokinesis and participates in the organization of the center spindle by associating with polymerized microtubules. Involve [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=165:BIR(13|112)+	1E31,1F3H,1XOX,2QFA,2RAW,2RAX,332,3UEC,3UED,3UEE,3UEF,3UEG,3UEH,3UEI,3UIG,3UIH,3UII,3UIJ,3UIK,4A0I,4A0J,4A0N,6SHO,A0A0B4J1S3,A2SUH6,AC087645,API4,Apoptosis inhibitor 4,Apoptosis inhibitor survivin,B2R4R1,BIRC5,BIRC5-201,BIRC5-202,BIRC5-203,BIRC5-204,BIRC5-205,BIRC5-206,BIRC5-207,BIRC5-208,BIRC5-209,BIRC5-210,BIRC5-211,BIRC5_HUMAN,Baculoviral IAP repeat containing 5,Baculoviral IAP repeat-containing protein 5,CAB004270,CCDS11755,CCDS11755.1,CCDS32751,CCDS32751.1,CCDS32752,CCDS32752.1,ENSG00000089685,ENSP00000262767,ENSP00000301633,ENSP00000324180,ENSP00000364086,ENSP00000389088,ENSP00000465671,ENSP00000465868,ENSP00000466063,ENSP00000466617,ENSP00000466675,ENSP00000467259,ENSP00000467336,ENST00000262767,ENST00000301633,ENST00000301633.8,ENST00000314223,ENST00000350051,ENST00000350051.7,ENST00000374948,ENST00000374948.6,ENST00000432014,ENST00000586192,ENST00000586192.5,ENST00000587746,ENST00000587746.5,ENST00000589892,ENST00000589892.1,ENST00000590449,ENST00000590449.1,ENST00000590925,ENST00000590925.6,ENST00000590946,ENST00000591800,ENST00000591800.1,ENST00000592115,ENST00000592115.5,ENST00000592734,ENST00000592734.5,EPR-1,H3BLT4,HGNC:593,HPA002830,I32.005,IAP4,K7ELG2,K7EMW2,K7EP76,NM_001012270,NM_001012270.1,NM_001012270.2,NM_001012271,NM_001012271.1,NM_001012271.2,NM_001168,NM_001168.2,NM_001168.3,NP_001012270,NP_001012270.1,NP_001012271,NP_001012271.1,NP_001159,NP_001159.2,NX_O15392,O15392,OMIM:603352,OTTHUMG00000177505,Q2I3N8,Q4VGX0,Q53F61,Q5MGC6,Q6FHL2,Q75SP2,Q9P2W8,R-HSA-1280215,R-HSA-141424,R-HSA-141444,R-HSA-162582,R-HSA-1640170,R-HSA-168256,R-HSA-194315,R-HSA-195258,R-HSA-212436,R-HSA-2467813,R-HSA-2500257,R-HSA-2555396,R-HSA-2990846,R-HSA-3108232,R-HSA-3700989,R-HSA-392499,R-HSA-449147,R-HSA-4615885,R-HSA-5633008,R-HSA-5663220,R-HSA-597592,R-HSA-6785807,R-HSA-6803205,R-HSA-68877,R-HSA-68882,R-HSA-68886,R-HSA-69278,R-HSA-69618,R-HSA-69620,R-HSA-73857,R-HSA-74160,R-HSA-8951664,U75285,UPI000006E9D2,UPI000013E736,UPI000013F77A,UPI00002003CB,UPI000023FFA2,UPI000068F51E,UPI00028411A7,UPI00028411A8,UPI00028411A9,URS00008C14DF,URS00008C2281,URS0000EA3FB0,URS0000EB6CE5,XR_243654,XR_243654.5,XR_934452,XR_934452.3,apoptosis inhibitor 4,baculoviral IAP repeat containing 5,baculoviral IAP repeat-containing 5,survivin,survivin variant 3 alpha,uc002jvg.4,uc002jvh.4
BRCA2	9606.ENSP00000369497	Breast cancer type 2 susceptibility protein; Involved in double-strand break repair and/or homologous recombination. Binds RAD51 and potentiates recombinational DNA repair by promoting assembly of RAD51 onto single-stranded DNA (ssDNA). Acts by targeting RAD51 to ssDNA over double-stranded DNA, enabling RAD51 to displace replication protein-A (RPA) from ssDNA and stabilizing RAD51- ssDNA filaments by blocking ATP hydrolysis. Part of a PALB2-scaffolded HR complex containing RAD51C and which is thought to play a role in DNA repair by HR. May participate in S phase checkpoint activation.  [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=3418:Pfam_BRCA2(1003|1035)+Pfam_BRCA2(1213|1245)+Pfam_BRCA2(1422|1454)+Pfam_BRCA2(1518|1550)+Pfam_BRCA2(1665|1696)+Pfam_BRCA2(1838|1869)+Pfam_BRCA2(1973|2004)+Pfam_BRCA2(2052|2084)+Pfam_BRCA-2_helical(2481|2667)+Pfam_BRCA-2_OB1(2670|2796)+Tower(2831|2872)+Pfam_BRCA-2_OB3(3052|3186)+	1N0W,3EU7,675,6GY2,AAN28944.1,AAN61409.1,AAN61410.1,AAN61411.1,AAN61412.1,AAN61413.1,AAN61414.1,AAN61415.1,AAN61416.1,AAN61417.1,AAN61418.1,AAN61419.1,AAN61420.1,AAN61421.1,AAN61422.1,AF489725,AF489726,AF489727,AF489728,AF489729,AF489730,AF489731,AF489732,AF489733,AF489734,AF489735,AF489736,AF489737,AF489738,AL137247,AL445212,AY151039,BRCA1/BRCA2-containing complex, subunit 2,BRCA2,BRCA2 DNA repair associated,BRCA2-201,BRCA2-202,BRCA2-203,BRCA2-204,BRCA2-205,BRCA2-206,BRCA2-207,BRCA2-208,BRCA2-209,BRCA2-210,BRCA2-211,BRCA2_HUMAN,BRCC2,BROVCA2,Breast cancer 2 susceptibility protein,Breast cancer type 2 susceptibility protein,CCDS9344,CCDS9344.1,ENSG00000139618,ENSP00000267071,ENSP00000343474,ENSP00000369497,ENSP00000433168,ENSP00000434898,ENSP00000435699,ENSP00000439902,ENSP00000499256,ENSP00000499308,ENSP00000499438,ENSP00000499570,ENSP00000499625,ENST00000267071,ENST00000348206,ENST00000380152,ENST00000380152.7,ENST00000470094,ENST00000470094.1,ENST00000528762,ENST00000528762.1,ENST00000530893,ENST00000533776,ENST00000533776.1,ENST00000544455,ENST00000544455.5,ENST00000614259,ENST00000614259.1,ENST00000665585,ENST00000666593,ENST00000670614,ENST00000671466,FACD,FAD,FAD1,FANCD,FANCD1,Fanconi anemia group D1 protein,Fanconi anemia, complementation group D1,GLM3,H0YD86,H0YE37,HGNC:1101,HPA026815,LRG_293,LRG_293t1,NM_000059,NM_000059.3,NP_000050,NP_000050.2,NX_P51587,O00183,O15008,OMIM:600185,OTTHUMG00000017411,P51587,PNCA2,Q13879,Q5TBJ7,Q8IU64,R-HSA-1474165,R-HSA-1500620,R-HSA-1640170,R-HSA-5685942,R-HSA-5693532,R-HSA-5693537,R-HSA-5693538,R-HSA-5693554,R-HSA-5693567,R-HSA-5693568,R-HSA-5693579,R-HSA-5693616,R-HSA-73894,R-HSA-912446,U43746,UPI00000747D7,UPI00001FCBCC,UPI0001F77F81,UPI0001F77F82,UPI0002B8324F,UPI00114938A5,UPI00114A9D10,URS0000EA37C7,URS0000EACAD8,XRCC11,breast cancer 2,breast cancer 2, early onset,hsa:675,uc001uub.2
C1orf61	9606.ENSP00000479346	Protein CROC-4; May play a role in FOS signaling pathways involved in development and remodeling of neurons. Promotes transcription of the FOS promoter.	http://smart.embl.de/smart/DDvec.cgi?smart=156:	10485,AAA93029.1,AL139130,B1ALL5,B1ALL8,C1orf61,C1orf61-201,C1orf61-202,C1orf61-203,C1orf61-204,C1orf61-205,C1orf61-206,C1orf61-207,C1orf61-208,C1orf61-209,C1orf61-210,C1orf61-211,C1orf61-212,C1orf61-213,C1orf61-214,C1orf61-215,C1orf61-216,C1orf61-217,C1orf61-218,C1orf61-219,C1orf61-220,C1orf61-221,C1orf61-222,C1orf61-223,C1orf61-224,C1orf61-225,C1orf61-226,C1orf61-227,C1orf61-228,C1orf61-229,C1orf61-230,C1orf61-231,C1orf61-232,C1orf61-233,CCDS1142.1,CH471121,CROC4,CROC4_HUMAN,Chromosome 1 open reading frame 61,Contingent replication of cDNA 4,EAW52956.1,ENSG00000125462,ENSP00000310651,ENSP00000324129,ENSP00000337703,ENSP00000350661,ENSP00000357225,ENSP00000357226,ENSP00000357227,ENSP00000383776,ENSP00000479346,ENST00000310027,ENST00000320269,ENST00000336137,ENST00000357975,ENST00000368242,ENST00000368243,ENST00000368244,ENST00000400991,ENST00000441085,ENST00000441085.5,ENST00000452465,ENST00000452465.1,ENST00000462458,ENST00000462458.5,ENST00000463309,ENST00000463309.5,ENST00000464203,ENST00000464203.1,ENST00000464238,ENST00000464238.5,ENST00000465270,ENST00000465270.5,ENST00000465570,ENST00000465570.1,ENST00000469813,ENST00000469813.1,ENST00000471156,ENST00000471156.5,ENST00000476966,ENST00000476966.5,ENST00000482932,ENST00000482932.5,ENST00000484428,ENST00000484428.5,ENST00000486517,ENST00000486517.5,ENST00000488498,ENST00000488498.2,ENST00000489877,ENST00000489877.5,ENST00000489918,ENST00000489918.1,ENST00000492750,ENST00000492750.5,ENST00000495000,ENST00000495000.1,ENST00000497822,ENST00000497822.5,ENST00000497824,ENST00000497824.5,ENST00000498346,ENST00000498346.1,ENST00000608007,ENST00000608007.1,ENST00000615748,ENST00000615748.4,ENST00000656222,ENST00000663987,ENST00000667036,ENST00000673141,NM_001320453,NM_001320453.1,NM_001320455,NM_001320455.2,NM_006365,NM_006365.2,NM_006365.3,NP_006356,NP_006356.1,NR_135260,NR_135260.1,NR_135261,NR_135261.1,NR_135262,NR_135262.1,NR_135263,NR_135263.1,NR_135264,NR_135264.1,NR_135265,NR_135265.3,NR_135267,NR_135267.3,NR_135268,NR_135268.3,NX_Q13536,Protein CROC-4,Q13536,U49857,UPI000006E362,URS00008B25E0,URS00008B29C4,URS00008B2A83,URS00008B3C1C,URS00008B41F6,URS00008B487F,URS00008B52F0,URS00008B6E2D,URS00008B7536,URS00008B8535,URS00008B8B36,URS00008B90DF,URS00008BAD71,URS00008BCBC8,URS00008BCECF,URS00008BD6C7,URS00008BE15F,URS00008BE886,URS00008C0207,URS0000EEB622,URS0000EEC643,URS0000EED11B,URS0000EEE826,URS0000EEF627,URS0000EF13CB,URS0000EF3AA7,URS0000EF4024,URS0000EF4068,URS0000EF5B93,URS0000EF5CAF,XM_011509070,XM_011509070.1,XM_011509070.2,XM_011509071,XM_011509071.2,XM_011509072,XM_011509072.1,XM_011509074,XM_011509074.1,XM_017000062,XM_017000062.1,XM_017000063,XM_017000063.1,XP_011507372,XP_011507372.1,XP_011507373,XP_011507373.1,XP_011507374,XP_011507374.1,XP_011507376,XP_011507376.1,XP_016855551,XP_016855551.1,XP_016855552,XP_016855552.1,uc001fou.2
C21orf62	9606.ENSP00000418653	Uncharacterized protein C21orf62; Chromosome 21 open reading frame 62.	https://smart.embl.de/smart/DDvec.cgi?smart=219:Pfam_DUF4571(2|219)+	56245,A8K4L8,AC203640,AF231922,AP000280,B37,C21orf120,C21orf62,C21orf62-201,C21orf62-202,C21orf62-203,C21orf62-204,CCDS42919,CCDS42919.2,CU062_HUMAN,Chromosome 21 open reading frame 62,ENSG00000205929,ENSP00000290186,ENSP00000371807,ENSP00000371810,ENSP00000418511,ENSP00000418653,ENSP00000418830,ENSP00000444950,ENST00000290186,ENST00000382370,ENST00000382373,ENST00000382373.4,ENST00000479548,ENST00000479548.1,ENST00000487113,ENST00000487113.1,ENST00000490358,ENST00000490358.5,ENST00000536776,H7BYF8,HGNC:1305,HPA016899,KF459715,KF511381,NM_001162495,NM_001162495.2,NM_001162495.3,NM_001162496,NM_001162496.2,NM_001162496.3,NM_019596,NM_019596.5,NM_019596.6,NP_001155967,NP_001155967.2,NP_001155968,NP_001155968.2,NP_062542,NP_062542.5,NX_Q9NYP8,OTTHUMG00000163477,PRED81,Q9NYP8,UPI000004E651,UPI0004620DD6,Uncharacterized protein C21orf62,chromosome 21 open reading frame 120,chromosome 21 open reading frame 62,hsa:56245,uc010glz.4,uc011adt.3
C7orf57	9606.ENSP00000335500	Uncharacterized protein C7orf57; Chromosome 7 open reading frame 57.	http://smart.embl.de/smart/DDvec.cgi?smart=295:	136288,AAH31107.1,AC069279,BC031107,C7orf57,C7orf57-201,C7orf57-202,C7orf57-203,C7orf57-204,C7orf57-205,C7orf57-206,C9JBJ8,C9JQZ6,CCDS47583,CCDS47583.1,CCDS59054,CCDS59054.1,CCDS75594,CCDS75594.1,CG057_HUMAN,Chromosome 7 open reading frame 57,ENSG00000164746,ENSP00000297327,ENSP00000335500,ENSP00000391652,ENSP00000394648,ENSP00000410944,ENSP00000442474,ENST00000297327,ENST00000348904,ENST00000348904.3,ENST00000420324,ENST00000420324.5,ENST00000430738,ENST00000430738.5,ENST00000435376,ENST00000435376.5,ENST00000461741,ENST00000461741.1,ENST00000539619,ENST00000539619.5,F5H7J8,HGNC:22247,HPA021286,J3KQX6,NM_001100159,NM_001100159.2,NM_001100159.3,NM_001267865,NM_001267865.1,NM_001267866,NM_001267866.2,NP_001093629,NP_001093629.1,NP_001254794,NP_001254794.1,NP_001254795,NP_001254795.1,NX_Q8NEG2,OTTHUMG00000155808,Q8NEG2,UPI00001C1E6B,UPI000059D9AE,UPI000198CDBF,UPI000198CDC0,UPI0002688857,Uncharacterized protein C7orf57,XM_006715649,XM_006715649.4,XM_006715650,XM_006715650.3,XM_011515121,XM_011515121.1,XM_011515121.2,XM_011515122,XM_011515122.3,XM_011515123,XM_011515123.3,XM_024446653,XM_024446653.1,XP_006715712,XP_006715712.1,XP_006715713,XP_006715713.1,XP_011513423,XP_011513423.1,XP_011513424,XP_011513424.1,XP_011513425,XP_011513425.1,XP_024302421,XP_024302421.1,chromosome 7 open reading frame 57,hsa:136288,uc003toh.6
CA12	9606.ENSP00000178638	Carbonic anhydrase 12; Reversible hydration of carbon dioxide. Belongs to the alpha-carbonic anhydrase family.	https://smart.embl.de/smart/DDvec.cgi?smart=354:SIGNAL(1|24)+Carb_anhydrase(32|289)+TRANS(305|327)+	1JCZ,1JD0,4.2.1.1,4HT2,4KP5,4KP8,4Q0L,4QJ0,4QJO,4QJW,4WW8,5LL5,5LL9,5LLO,5LLP,5MSA,5MSB,6G5L,6G7A,6RPS,771,AAC39789.1,AAC63952.1,AAH00278.1,AAH11691.1,AAH23981.1,AAP35302.1,AC016207,AC087525,AF037335,AF051882,AK096845,AK315769,B2RE24,B3KUB4,BAG38121.1,BAG53376.1,BC000278,BC011691,BC023981,BT006656,CA-XII,CA12,CA12-201,CA12-202,CA12-203,CA12-204,CA12-205,CA12-206,CAB025181,CAB062549,CAB068179,CAH12_HUMAN,CAXII,CCDS10185,CCDS10185.1,CCDS10186,CCDS10186.1,CCDS76767,CCDS76767.1,CH471082,CHEMBL3242,Carbonate dehydratase XII,Carbonic anhydrase,Carbonic anhydrase 12,Carbonic anhydrase XII,EAW77649.1,EC 4.2.1.1,ENSG00000074410,ENSP00000178638,ENSP00000308440,ENSP00000323942,ENSP00000343088,ENSP00000346333,ENSP00000403028,ENST00000178638,ENST00000178638.7,ENST00000308135,ENST00000312762,ENST00000344366,ENST00000344366.7,ENST00000354364,ENST00000422263,ENST00000422263.2,ENST00000558287,ENST00000558287.1,ENST00000560293,ENST00000560293.1,ENST00000560666,ENST00000560666.1,HGNC:1371,HPA008773,HPA073203,HsT18816,KF495770,NM_001218,NM_001218.4,NM_001218.5,NM_001293642,NM_001293642.1,NM_206925,NM_206925.2,NP_001209,NP_001209.1,NP_001280571,NP_001280571.1,NP_996808,NP_996808.1,NR_135511,NR_135511.2,NX_O43570,O43570,OMIM:603263,OTTHUMG00000132881,Q53YE5,Q9BWG2,R-HSA-1430728,R-HSA-1475029,T18816,Tumor antigen HOM-RCC-3.1.3,UPI000002A552,UPI0000035CDD,UPI00003E5FC1,URS00008BA449,URS00008C1A2D,carbonic anhydrase 12,carbonic anhydrase XII,hsa:771,uc002amc.4
CCDC80	9606.ENSP00000206423	Coiled-coil domain-containing protein 80; Promotes cell adhesion and matrix assembly.	https://smart.embl.de/smart/DDvec.cgi?smart=950:SIGNAL(1|21)+Pfam_DUF4174(141|270)+Pfam_DUF4174(615|749)+Pfam_DUF4174(771|902)+	151887,AAH42105.1,AAH73164.1,AAH86876.1,AAI10843.1,AAI16179.1,AAM33633.1,AAQ96742.1,AAS66643.1,AAS66644.1,AAS92235.1,AB052098,AC048334,AF506819,AK075210,AL833034,AY333429,AY526612,AY548106,AY548107,BAC11475.1,BAD05134.1,BC042105,BC073164,BC086876,BC110842,BC116178,BX647117,BX647817,C9J8I6,CAH56167.1,CAH56178.1,CAH56325.1,CCD80_HUMAN,CCDC80,CCDC80-201,CCDC80-202,CCDC80-203,CCDC80-204,CCDC80-205,CCDC80-206,CCDC80-207,CCDC80-208,CCDS2968,CCDS2968.1,CH471052,CL2,Coiled-coil domain containing 80,Coiled-coil domain-containing protein 80,D3DN67,DRO1,Down-regulated by oncogenes protein 1,EAW79663.1,EAW79665.1,ENSG00000091986,ENSP00000206423,ENSP00000313539,ENSP00000340269,ENSP00000401856,ENSP00000409712,ENSP00000411814,ENSP00000418188,ENSP00000420123,ENSP00000420368,ENSP00000420547,ENST00000206423,ENST00000206423.7,ENST00000326555,ENST00000346979,ENST00000439685,ENST00000439685.6,ENST00000444594,ENST00000447230,ENST00000461431,ENST00000461431.1,ENST00000469554,ENST00000469554.1,ENST00000473959,ENST00000473959.5,ENST00000475181,ENST00000475181.1,ENST00000478429,ENST00000479368,ENST00000479368.1,ENST00000480275,ENST00000480275.1,ENST00000497624,H7C5K4,HBE245,HGNC:30649,HPA002266,LINC01279,NM_199511,NM_199511.2,NM_199512,NM_199512.2,NP_955805,NP_955805.1,NP_955806,NP_955806.1,NX_Q76M96,OMIM:608298,OTTHUMG00000159265,Q5PR20,Q6GPG9,Q76M96,Q8IVT6,Q8NBV1,Q8NHY8,SSG1,TCONS_00006930,UPI000004EE7F,UPI0001B79547,UPI0001B79548,URB,URS00008B26B4,URS00008B3E04,URS00008BF965,URS0000D6DF20,Up-regulated in BRS-3 deficient mouse homolog,coiled-coil domain containing 80,hsa:151887,long intergenic non-protein coding RNA 1279,okuribin,steroid sensitive gene 1,uc003dzf.5,uc032rxo.2
